idx,w_in,l_in,nf_in,i_bias,rs,cs,rl,cl,vcm_in,tt_ok,tt_pass,tt_first_fail,peaking_db,f_pk_hz,nyquist_boost_db,g_dc_db,g_nyq_db,g_pk_db,g_top_db,vn_in_vrms,gm,gmbs,gds,vth,vds,vdsat,id_a,v_src_dc,v_out_dc,power_w,c0_pass,c1_pass,c2_pass,c0_first_fail,c1_first_fail,c2_first_fail
1299,6.15331544726423e-05,4.063949147095741e-07,7.0,0.0019165078955410073,56.49044447697356,3.082180726080801e-12,204.7616107807917,1.5e-13,1.3645811983075964,1,0,S3_peaking,0.9064709999999998,1513561000.0,0.5988549999999999,2.385295,2.98415,3.291766,-6.021505,0.00022601,0.008362563,0.001463386,0.0001012875,0.7174484,1.152648,0.1744752,0.0009582541,0.451138,1.603786,0.003449714211973813,0,0,0,S3_peaking,S3_peaking,S3_peaking
1300,3.719561572013555e-05,3.222268847172295e-07,4.0,0.0014904603351328545,149.01611987035153,3.0630424200062594e-13,57.97015727968644,1.5e-13,1.386616075132894,1,0,S3_f_peak,1.8334499999999991,7943282000.0,0.7594600000000007,-12.47382,-11.71436,-10.64037,-11.87872,0.0004306229,0.006479308,0.001116406,9.968718e-05,0.7282766,1.293837,0.1677008,0.000745233,0.4629622,1.756799,0.0026828286032391383,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1301,8.895751975487999e-05,2.8945891256432884e-07,6.0,0.007815153057313791,87.60531199505117,2.008708758875317e-13,92.61500919667269,1.5e-13,1.4121718385388042,1,0,S3_peaking,-1.5000000000986446e-06,10000000.0,-0.09340360000000003,-0.8335286,-0.9269322,-0.8335301,-4.190371,0.0001951015,0.02139271,0.003692361,0.0006014299,0.7116339,1.036088,0.2025447,0.003907577,0.4020117,1.4381,0.014067275503164825,0,0,0,S3_peaking,S3_peaking,S3_peaking
1302,3.1937708517459684e-05,1.6846324934928089e-07,4.0,0.0007520516475428141,842.458337336995,2.202278548765537e-13,108.72804722303312,1.5e-13,1.116621406760281,1,0,S3_f_peak,8.148806999999998,5011872000.0,6.9031829999999985,-16.0767,-9.173517,-7.927893,-12.72693,0.0005315725,0.005185866,0.0007643965,0.0001559444,0.7568504,1.451779,0.08682515,0.0003760258,0.3073346,1.759114,0.0013536929655770654,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1303,7.464132701715693e-05,8.627091018946185e-07,5.0,0.003478501859987182,81.36630214032641,1.1329093545323525e-13,234.63651886192795,1.5e-13,1.3471953833498733,1,0,S3_peaking,-2.3999999999801958e-05,10000000.0,-1.2247679999999999,2.303429,1.078661,2.303405,-5.454972,0.0002627739,0.007791618,0.001546189,8.15181e-05,0.6462224,1.08391,0.3136658,0.001739251,0.3079982,1.391908,0.006261303347976928,0,0,0,S3_peaking,S3_peaking,S3_peaking
1304,2.674485870971173e-05,6.598671390198338e-07,5.0,0.0023788038202829137,219.15803143518292,6.042063882473955e-13,596.6511089855418,1.5e-13,1.5584126164527028,1,0,S3_peaking,-1.000000000139778e-06,10000000.0,-2.46553,3.610484,1.144954,3.610483,-10.17003,0.0003433669,0.00408921,0.0007494752,0.0001130196,0.6931546,0.7195507,0.3677725,0.001189402,0.3707914,1.090342,0.004281846876509245,0,0,0,S3_peaking,S3_nyq_boost,S3_nyq_boost
1305,2.6331361762008454e-05,1.8556614855632215e-07,4.0,0.0006652780608689725,189.9129874345488,1.854014215340379e-12,215.96534401793153,1.5e-13,1.4841960527982565,1,0,S3_peaking,2.542346,1445440000.0,2.147161,-3.944048,-1.796887,-1.401702,-12.66045,0.000328683,0.004483478,0.0006256835,0.0001274026,0.7974377,1.13256,0.1065096,0.000332639,0.5956015,1.728161,0.0011975005095641504,0,0,0,S3_peaking,S3_peaking,S3_peaking
1306,2.163981180052263e-05,1.8250237367899954e-07,8.0,0.0007047566303426712,776.9690082854019,3.568694122665008e-13,133.1939474064593,1.5e-13,1.5733302533411242,1,0,S3_f_peak,7.105304,3311311000.0,6.942234,-14.5639,-7.621666,-7.458596,-14.30775,0.0004937669,0.003969591,0.0005208722,0.0001594265,0.8388867,1.097272,0.1093432,0.0003523783,0.6557929,1.753065,0.0012685619346168083,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1307,6.882075229129544e-05,1.842414850485963e-07,2.0,0.0017563085298590412,145.2471589024176,5.181974247776229e-13,188.28387287392388,1.5e-13,1.5194254276477137,1,0,S3_peaking,1.48356,3311311000.0,1.338999,1.10733,2.446329,2.59089,-5.040526,0.0002048039,0.01288949,0.001650859,0.0003082507,0.7780433,1.001237,0.08853696,0.0008781674,0.6334208,1.634658,0.0031613553537462743,0,0,0,S3_peaking,S3_peaking,S3_peaking
1308,2.6562914278201007e-05,1.5198883274104043e-07,1.0,0.0033281627181316813,626.2179712235258,5.337434147387362e-13,182.58792452961444,1.5e-13,1.2983451732327596,1,0,S3_f_peak,10.392448,3467369000.0,10.029326000000001,-8.14409,1.885236,2.248358,-5.784792,0.0002535333,0.01099113,0.001360786,0.0005198606,0.7574318,1.173233,0.1227139,0.001664082,0.3229252,1.496158,0.0059906928926370265,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
