stage,corner,temp_c,vcm_out_v,ok,problems,fail_reason,c_in_ff,c_in_lo_ff,cgg_ff,cgs_ff,cgd_ff,cgb_ff,analytic_ff,a_load,g_in_s,gm,id_a,vgs,vds,vdsat,v_src_dc,v_out_dc,runtime_s
summer_min,fs,27.0,1.4,True,,,6.956867375859912,6.95747272486906,3.807471,-2.91616,0.0020139769999999997,-0.8933209999999999,7.053152354443127,1.3208223339499938,7.2589706e-07,0.001766728,0.0005,1.234486,1.234485,0.2461938,0.1655143,1.4,0.6277849999999034
summer_min,fs,27.0,1.6,True,,,6.930916423909841,6.93151050474902,3.799443,-2.91057,0.0038301719999999997,-0.892706,7.035077798642036,1.3043958805604072,7.16620618e-07,0.001754513,0.0005,1.268561,1.068561,0.2498779,0.3314388,1.4,0.6085448000001179
summer_min,fs,125.0,1.2,True,,,6.740109089510508,6.740683091362065,3.775569,-2.9104,9.748219e-05,-0.865263,6.822367254820615,1.1234592923212186,6.8047219e-07,0.001484871,0.0005,1.208137,1.408136,0.3126716,-0.0081374,1.399998,0.6952656000000843
summer_min,fs,125.0,1.4,True,,,6.714315382644212,6.7148804590865625,3.7637849999999995,-2.89445,0.001941841,-0.871277,6.804027694460783,1.1108531754631,6.73234524e-07,0.001474804,0.0005,1.246118,1.246118,0.3173022,0.1538823,1.4,0.6461428000000069
summer_min,fs,125.0,1.6,True,,,6.69065849004387,6.6912133041754895,3.756456,-2.88945,0.0035850730000000003,-0.870589,6.786790007670064,1.0955118568435394,6.6484962e-07,0.001462661,0.0005,1.2815,1.0815,0.3215403,0.3185,1.4,0.6357179000001452
summer_max,tt,0.0,1.2,True,,,24.902713568101966,24.921756928141544,9.740648,-7.38955,0.009357998,-2.3604499999999997,24.911221063087503,3.1456398154949077,9.06488472e-06,0.005142369,0.001,1.047128,0.8471284,0.162994,0.1528716,1.0,0.5836162000000513
summer_max,tt,0.0,1.4,True,,,24.51708215958194,24.534637993861402,9.756299,-7.450290000000001,0.01518252,-2.32119,24.570965815177022,3.0150124484017704,8.57389106e-06,0.005056508,0.001,1.083245,0.6832452,0.1676195,0.3167548,1.0,0.6611253000000943
summer_max,tt,0.0,1.6,True,,,24.032342421519502,24.048061786009217,9.788910000000001,-7.51783,0.007784867,-2.2788600000000003,24.025619732125623,2.8314645578534092,7.95370458e-06,0.0049421,0.001,1.118779,0.5187791,0.1725732,0.4812209,1.0,0.6244901000000027
summer_max,tt,27.0,1.2,True,,,24.426267839757887,24.44501682681472,9.681892,-7.3424499999999995,0.009735542,-2.34918,24.437501017254167,3.004246346219664,8.84699426e-06,0.004866637,0.001,1.045057,0.8450565,0.1776904,0.1549435,1.0,0.6324081000000206
summer_max,tt,27.0,1.4,True,,,24.052820187765384,24.07009631678166,9.699908,-7.40624,0.01499784,-2.3086599999999997,24.1033559920921,2.8761143183596216,8.36502618e-06,0.004781489,0.001,1.081535,0.6815346,0.1825153,0.3184654,1.0,0.6151380000001154
summer_max,tt,27.0,1.6,True,,,23.575626813160635,23.591042484554144,9.736423,-7.47667,0.005295806,-2.26505,23.550650836208884,2.6920496754226093,7.74307946e-06,0.004667258,0.001,1.117602,0.5176019,0.1877057,0.4823981,1.0,0.6564610000000357
summer_max,tt,125.0,1.2,True,,,23.11834130278155,23.136306992870463,9.497146,-7.20294,0.01115164,-2.30536,23.13880603056865,2.624238630805613,8.25608692e-06,0.004136083,0.001,1.038238,0.8382382,0.2277046,0.1617618,1.0,0.6158026999999038
summer_max,tt,125.0,1.4,True,,,22.74607852750938,22.762531354371234,9.519412,-7.272030000000001,0.014053920000000001,-2.26144,22.784917461221674,2.492309869746723,7.76997612e-06,0.004040666,0.001,1.075651,0.6756508,0.2330768,0.3243492,1.0,0.6299372000000858
summer_max,tt,125.0,1.6,True,,,22.249288850395565,22.263687661759064,9.567412,-7.34718,-0.0064335700000000004,-2.2138,22.19174070575027,2.290608490550866,7.09972942e-06,0.003911544,0.001,1.113434,0.5134344,0.2389879,0.4865656,1.0,0.6093378000000484
summer_max,ss,0.0,1.2,True,,,26.02502100537304,26.049416657022032,10.748140000000001,-8.17815,0.002102626,-2.5721000000000003,26.33007932204726,3.2128432455893328,1.032431262e-05,0.004871695,0.001,1.113876,0.9138758,0.189839,0.08612416,1.0,0.6878953000000365
summer_max,ss,0.0,1.4,True,,,25.73022976343983,25.75321657553257,10.73672,-8.18311,0.005286262,-2.5589,26.05526558211413,3.1192752737716436,9.91886492e-06,0.004822011,0.001,1.150205,0.750205,0.1941513,0.249795,1.0,0.6112579000000551
summer_max,ss,0.0,1.6,True,,,25.34526795159638,25.36640400815168,10.743219999999999,-8.20534,-0.00159576,-2.53628,25.618134056717313,2.9782278643140216,9.37424862e-06,0.004747341,0.001,1.184778,0.5847785,0.1986343,0.4152215,1.0,0.6187890999999581
summer_max,ss,27.0,1.2,True,,,25.503311738537583,25.527123864503217,10.69385,-8.13668,0.002170876,-2.5593399999999997,25.79994073108862,3.0535382860986955,1.001691146e-05,0.004600316,0.001,1.112952,0.9129518,0.2067376,0.08704815,1.0,0.5966270999999779
summer_max,ss,27.0,1.4,True,,,25.218199154327625,25.240624926147376,10.68441,-8.14438,0.004903670000000001,-2.54493,25.530345279749245,2.9619714096252503,9.62053714e-06,0.004550979,0.001,1.14963,0.7496297,0.2112764,0.2503703,1.0,0.6751081999998405
summer_max,ss,27.0,1.6,True,,,24.84031731829663,24.860881613901977,10.69385,-8.16914,-0.0036418199999999996,-2.5210700000000004,25.104988938108825,2.821114924926659,9.07706506e-06,0.004476536,0.001,1.184692,0.5846922,0.2160037,0.4153078,1.0,0.6107428000000255
summer_max,ss,125.0,1.2,True,,,24.030698796591203,24.052802005904685,10.51575,-8.00734,0.002500426,-2.51092,24.304796362733224,2.6124269365318242,9.1407733e-06,0.003864327,0.001,1.108876,0.9088763,0.2648593,0.09112371,1.0,0.5976132999999209
summer_max,ss,125.0,1.4,True,,,23.749335902840492,23.770045373218725,10.51118,-8.02154,0.003329273,-2.49296,24.022910724086188,2.5184185508737955,8.74614194e-06,0.003807082,0.001,1.146625,0.7466248,0.2700855,0.2533752,1.0,0.6363585999999941
summer_max,ss,125.0,1.6,True,,,23.36184925697983,23.3805497590748,10.53019,-8.052290000000001,-0.012855,-2.46505,23.602674778287845,2.366216076991977,8.16942038e-06,0.00372263,0.001,1.183392,0.583392,0.2756072,0.416608,1.0,0.6314303999999993
summer_max,ff,0.0,1.2,True,,,23.44937900075033,23.46257179961706,8.86021,-6.699990000000001,0.02398358,-2.1841999999999997,23.244001759871598,2.925991351498997,7.3735649e-06,0.005356078,0.001,0.9754177,0.7754177,0.1367683,0.2245823,1.0,0.6059675999999854
summer_max,ff,0.0,1.4,True,,,22.92653183973374,22.938268383603575,8.91014,-6.82657,0.034161790000000004,-2.1177300000000003,22.80255510218969,2.7411834958914114,6.7982881e-06,0.005199865,0.001,1.013012,0.6130117,0.1420151,0.3869883,1.0,0.576153000000204
summer_max,ff,0.0,1.6,True,,,22.334091951681017,22.344231343865935,8.977744000000001,-6.94977,0.02517187,-2.05315,22.1490611368661,2.508919894673949,6.1493478e-06,0.005017978,0.001,1.051882,0.4518821,0.1477129,0.5481179,1.0,0.5657913999998527
summer_max,ff,27.0,1.2,True,,,23.05738508690131,23.070550944019267,8.799928999999999,-6.651619999999999,0.0248267,-2.17313,22.862399884239807,2.8145597569977343,7.26398834e-06,0.005084462,0.001,0.9731723,0.7731723,0.149299,0.2268277,1.0,0.5620315999999548
summer_max,ff,27.0,1.4,True,,,22.549706283229057,22.561418508223586,8.852007,-6.78054,0.03424786,-2.10572,22.428009761295453,2.6330603041894887,6.69668524e-06,0.004930266,0.001,1.011098,0.6110976,0.1547213,0.3889024,1.0,0.6122797000000446
summer_max,ff,27.0,1.6,True,,,21.964777617222587,21.97485907700822,8.924398,-6.90614,0.021777949999999997,-2.04004,21.760288225797733,2.399204784177535,6.04304614e-06,0.004748296,0.001,1.050512,0.450512,0.1606436,0.549488,1.0,0.5727037999999993
