idx,f_pk_hz_meas,f_peak_closed_true_k,f_peak_closed_pred_k,f_peak_grid,peaking_db_meas,peaking_db_closed,peaking_db_asymptote,f_z,f_p2,k_true,k_pred_calibrated
1021,524807500.0,526091396.9696939,526369287.04099923,525678711.5676664,3.796894,3.948883559066161,5.064337936031151,137991681.9325495,1448772442.3295279,1.879444830824466,1.7927198963968412
1023,2754229000.0,2920344643.24133,2869315360.0743637,2874519723.1652884,7.8887259,7.667446571938237,8.160852241410485,302207531.3911205,12113504371.205559,2.7320410470479537,2.484727732578873
1024,912010800.0,906671364.8146045,926696591.2101189,924168099.0688962,10.918311,10.338398618571771,10.516265156266012,40771564.71936978,6306766960.847803,3.6177031281628413,3.4924872390860147
1026,602559600.0,580692170.6709694,578484905.9541223,578119580.7882264,6.083647,5.8657137560923776,6.8396045643864145,104783217.39240442,1701113942.7235157,2.3308442387088313,2.1849630653562637
1027,2089296000.0,2512807131.0666876,2438716882.8786454,2437717216.9076586,0.1383469999999995,0.2705052134358061,2.2919719135058827,2919852649.5247316,6759127620.707237,1.3355142889555554,1.2888615148293767
1030,3981072000.0,4069825096.9268217,4139395717.2845726,4151912047.561972,13.2715369,13.11901004913289,13.899495507577724,257979027.65017933,13287649592.21075,5.393571277594133,5.117533896742228
1033,6918310000.0,7126681132.912835,7197768485.156602,7207297071.871046,2.99373,3.1164850765923315,4.1491966821340185,2140853993.5330224,20561757510.51569,1.680391001613362,1.6306608158702451
1034,794328200.0,815946156.6889737,819769934.5288945,819296450.5878706,2.03653429,1.982857961824295,2.462379704039192,236616527.6012087,3500208688.3131356,1.364175753919241,1.3327498384392884
1035,1659587000.0,1652953955.023203,1459025074.8101873,1458740235.973645,0.4432209999999998,0.4546315947953705,1.23524945757981,1222222314.181815,6150888126.171737,1.1698028625087749,1.114335704303879
1036,7244360000.0,7920780331.9954405,7879871129.333897,7876196814.877634,2.191796,2.6904196840415358,4.59303225485857,3234083448.9561553,16823428038.55638,1.7743132027150001,1.6871163571513472
1038,3019952000.0,3290812023.393173,3346051249.1081853,3346886276.922814,4.742792,5.412349918426244,9.930000568198134,989161904.3715868,4134966221.875173,3.374328150402477,3.224527216807203
1041,1737801000.0,1871875487.8930616,1883459775.562784,1879767198.8350275,4.794736,5.0663425436309995,6.31602261535596,422660648.70148915,4828231870.554586,2.1879929116430072,2.0879539772000326
1042,4570882000.0,4536984737.931664,4542201326.399776,4537245533.042846,6.075040000000001,6.286657156851501,8.261829114563193,997536123.4653589,9114330425.741085,2.765286678130391,2.5935927980665623
1045,660693400.0,638140013.4877511,645863714.8083442,643904223.4396538,6.5925617,6.426592430145163,7.322283531017843,102281549.98609124,1949953146.395118,2.470386141090467,2.368389271136704
1046,1737801000.0,1713714041.3613992,1696179448.9492538,1698453358.3228452,4.090555999999999,3.790261466319432,3.966902366465703,203168971.69599488,11998861844.846237,1.6431838214676127,1.5599600507612807
1047,3019952000.0,3405357321.68072,3405651526.0210805,3411146830.2344193,1.4968709999999996,2.1639080966467414,6.243647854406945,1840238989.454681,4902274426.042288,2.1689153289813943,2.0522330634545716
1048,2187762000.0,2188469187.2940273,2211336793.61997,2216593397.5167623,1.7359820000000008,1.6403632811191569,2.154223789718817,730392378.3102423,9123372619.380747,1.3127534471945534,1.2910045733540885
1051,912010800.0,899339431.5210068,900622618.8670616,901028156.804429,8.399167,7.915256501705837,8.114139538781385,58668428.74307922,5915798622.4600525,2.7167916210692113,2.551233708711915
1054,549540900.0,559671656.8685449,579092487.2506258,578119580.7882264,12.821451,12.495381790849017,12.713835747675287,21265308.109001953,3508203632.204658,4.691188789047144,4.610987203341944
1055,5011872000.0,5194437578.349373,5236462298.61062,5249461949.33811,9.592187,10.08190287882719,12.77432068508324,752230234.9490807,8678380825.79954,4.724746722420769,4.417898225972687
1056,10471290000.0,10144336078.196236,10030079726.549467,10021583738.168324,1.016020000000001,1.2516151223848937,3.5207068264716574,6536954890.007508,20976479544.448227,1.5553409771426367,1.4866688011267262
1057,4365158000.0,4319544985.631011,4300245586.237152,4312876882.696926,5.384200999999999,5.181051599655431,5.619194697776713,613156732.7976254,19090914976.161526,2.0107513299287954,1.8975772282183176
1059,316227800.0,314670638.20386857,313016478.09548914,312580495.01104003,9.6447808,9.299857532856562,9.617531346010196,21338800.87112374,1632326136.3989148,3.251170286978789,2.997932979239974
1060,912010800.0,947013537.2993375,969636425.2472768,972246065.2897124,13.841307,13.571643799590085,13.869486445463394,36626100.49819466,5072291845.670419,5.3745858505243325,5.165909170962779
1061,549540900.0,564321375.0907338,575888847.6526318,574466260.0154735,5.723856,5.760982392805517,6.920329450345464,110939920.0512203,1509813729.1030147,2.3536450624384404,2.2890358489284552
1062,1819701000.0,1777467543.2160234,1773107003.4349525,1775520510.0878506,8.794914000000002,8.27897938198858,8.479813908084605,110878356.38468072,11633391043.248472,2.8383874318444864,2.6434334093351883
1064,2511886000.0,2582371800.3040633,2593989924.561253,2597256554.1100473,1.9923587,2.179750298328745,3.7446567315816557,1124235525.166136,6135577933.246937,1.5988661179439108,1.5457315918397714
1066,1737801000.0,2710891825.488251,2668093207.1637545,2663958539.2303085,0.2371473999999999,1.0226495362389039,8.01194538746292,2010271012.2715666,3172970450.7149615,2.6837147932119256,2.4726089850188906
1067,1445440000.0,1633241779.0904455,1609247269.049477,1604261833.5923374,1.63088,1.9922716935543463,3.8981304705256186,794276651.8206193,3534651615.769117,1.629348758621063,1.544630518250292
1070,1905461000.0,2241444152.8636727,2209675949.3448544,2216593397.5167623,1.1132300000000006,1.6155959501726653,5.473935718206646,1395957894.788921,3438363236.4208026,1.9755613115321713,1.850798243067286
1071,831763800.0,776172450.2906841,786604350.0430145,788718736.0640445,6.135045999999999,5.73792941948089,5.872301668452882,57485883.39863959,6224905881.631548,2.07349213170652,2.0055039226671347
1072,1905461000.0,2016247973.2036402,2039599250.7662442,2041244610.9680977,0.6991160000000001,0.89024162622412,2.8305434069981295,1462581296.0576627,4660740273.386286,1.4280520523177045,1.3954128250367268
1073,457088200.0,471240657.71737474,463578816.93424225,463081399.648139,3.18968,3.1725033043178357,3.967008488398329,125863113.53083158,1552149223.9398365,1.6432052551161727,1.5505939819888033
1074,5495409000.0,5730061828.103055,5637555438.280639,5628588136.166833,1.6076870000000003,2.018180838398286,4.438755457222355,2945181334.46411,10969455739.83623,1.7411203789016487,1.6400983558900681
1075,1659587000.0,1707970272.9058785,1710748977.524293,1709254680.1190836,1.494951,1.4646009664895312,2.328567955877659,750424889.1955706,5557052349.928024,1.3416221777782114,1.308942238061829
1078,2187762000.0,2227042952.6310983,2228236934.273271,2230689833.230274,3.2305400000000004,3.373350539514028,4.950635726772633,740484301.4384729,5154340559.330178,1.8535573655565458,1.7693633021520965
1079,1737801000.0,1839266588.2859707,1780647285.8441343,1775520510.0878506,17.163209000000002,16.832100142571697,17.296595248675867,59451327.38174012,7849623719.562256,8.0281925791246,6.875193665718261
1080,6309573000.0,7164968079.911357,6919365839.072436,6938306925.271519,5.383254,6.53589483037017,11.444270914079805,1842439359.904629,8459412123.573607,4.0381525855293585,3.515770850226798
1081,1202264000.0,1388904926.0215354,1372406288.983929,1369135514.395641,0.942597,1.4292278829254121,7.526371635755491,915309697.4572072,1673214025.2057807,2.531760539142412,2.3463896299129736
1082,3162278000.0,3125786175.109804,3017769691.6930456,3024060766.9328246,9.6802848,9.404672929227456,10.361406883302081,342725318.6200544,9190830939.184507,3.5518122723968664,3.0964051840161932
1083,630957300.0,627499511.3211192,638612487.3068112,639835188.6701574,1.923773,1.9057829925646652,2.494253767558962,203518360.66067433,2435964755.7082033,1.3695994668869136,1.3516340109365597
1085,7943282000.0,7730951197.757709,7696271833.968632,7678987303.162783,5.191424,5.135258160433372,6.421011235227408,1744928037.9137027,19639218712.32322,2.215951413768001,2.0805978875930498
1087,1445440000.0,1483051813.1669378,1454077677.4399571,1449521994.310106,8.037452,8.64620931389656,11.045529466644934,250061288.23823982,2653860086.459513,3.8519791518217796,3.4433278589024923
1088,3311311000.0,3170309693.796392,3088382449.453515,3082123037.9669175,12.789946,12.4497156253405,13.082935497275683,198860221.8201634,11540570593.072447,4.899656544787414,4.292079304139054
1090,1047129000.0,1109631068.6566904,1108130645.2332623,1110688817.3342626,0.708053,0.7287293511071236,1.614779233919049,695671608.1579765,3739267610.0871077,1.2270131728864044,1.2035868510816368
1091,1047129000.0,1071516749.8482382,1071362372.8557354,1069235780.9432377,5.655312,5.420011297184129,5.768150522894979,131585460.25276856,5319383237.9775915,2.0474533211891197,1.9423026837550474
1092,758577600.0,751644117.1773818,741464172.8842981,740270821.2087947,4.1050429,3.9146166690308366,4.384560456569639,137595113.69843966,3215914339.9904037,1.7295994893868478,1.6293604668976724
1093,3981072000.0,4178527379.9547873,4144983146.0391154,4151912047.561972,0.386581,0.5652648127911489,2.1222135895396255,3477587014.0409613,11256473771.472734,1.3075157214554154,1.2721150932009708
1094,2290868000.0,3087536676.509567,3154687984.4290333,3161277222.67462,0.357863,0.8982484431436562,5.216568962869771,2500576909.1005306,4837475779.509168,1.91463931393807,1.8571558732218185
1096,2754229000.0,4804948275.484271,4799183021.483193,4803642243.283738,0.0602020000000003,0.5047503866903374,5.270615369026759,4816002922.0704565,7888788389.643931,1.9272834835554744,1.8330127180497529
1098,8709636000.0,8992573368.950573,8908803904.54744,8884366376.877466,4.853915000000001,6.564687353155634,13.018807015813918,2308959936.8139687,8861771038.892664,4.8627979572186755,4.402558722942262
1099,2511886000.0,2585620222.6116076,2571043135.1628747,2564534498.4481907,3.9891739999999993,4.227122225667569,6.276628577724379,797173165.1174413,5161645915.757824,2.177589151499145,2.0436849297414192
1101,2398833000.0,2396746056.7117004,2399541573.3317804,2407005149.463536,15.939122,15.571351168786665,15.979487973663515,84669775.3536849,10930664946.793169,6.882989722871933,6.308995077534803
1102,724436000.0,730763853.2947639,714810131.7789501,712642494.7037777,1.2575070000000004,1.300040316804465,2.481067198816243,382838029.6069839,2061058352.2519655,1.3673532170809946,1.3111854136256633
1104,2884032000.0,3412626163.3782063,3375030528.6611686,3368170815.3031645,2.712845,3.7369447297755616,12.362684247269664,1286635054.0779698,2870695732.96886,4.500914421493286,4.075854534340611
1105,2398833000.0,2907008504.779492,2946440238.053085,2948342300.1067486,1.307924,2.3534045578397214,7.485020194812277,1518964117.668614,3633479150.075295,2.519208362647703,2.40909301988236
1107,1202264000.0,1240648921.6468213,1223588947.1093237,1221489360.9607418,2.044705,1.9495236759072179,2.25450497251312,296476728.97983843,6659288037.205868,1.3292876500802093,1.2829005843176353
1110,3467369000.0,3453957319.251403,3387179464.29225,3389590712.801402,9.5748156,9.352994874653392,10.310007364213954,381292041.8175631,10154665190.664873,3.5302006072930068,3.164945597914386
1112,2630268000.0,2675150848.7062263,2758151979.257694,2749750087.1639,1.936763,1.8050244546171994,2.092014096848265,650936234.3404912,14817431646.164352,1.302591940298301,1.301788715461728
1114,6606934000.0,4582995166.011775,4523041601.70613,4537245533.042846,4.469147,4.810207369350191,6.517204709349093,1207120748.2698588,10040726396.419819,2.241866127252285,2.0777951276472137
1115,2884032000.0,3349608200.052937,3338535099.516519,3346886276.922814,0.77163536,1.3138586781367008,9.26281935257258,2184367509.240465,3460654107.22283,3.1166282489566655,2.893109546669005
1118,8317638000.0,8104765740.953975,8332108427.662578,8338634411.744047,8.837804,9.1210860328737,10.352203275141527,1020533232.0350167,20864259771.083218,3.5479330776912725,3.4609616276628334
1119,758577600.0,885562038.8636658,884205904.2450781,884054226.690254,0.28078,0.47298712268162213,3.296623139644717,886856258.0907696,1883382187.7600815,1.5128986960053754,1.4604213555423662
1121,4786301000.0,5068729007.980708,4921289952.816001,4927007982.000437,7.692138,7.910633942576693,9.472292913726365,819280072.0735801,11509944663.97699,3.1954163676918843,2.828875870808382
1122,1659587000.0,1672630504.6903908,1634833008.4397662,1635063822.2329838,3.8815818,3.682452635486102,3.9602816327318013,251333926.61329323,9331537968.160404,1.641847136954585,1.5367914084964127
1124,2089296000.0,2072125957.4437747,2120824969.0761192,2120381307.148242,16.857183,16.155094228467796,16.291810981494432,40488005.591309175,16452933463.856909,7.139056380211426,6.828220261826473
1127,4786301000.0,4298688305.190102,4286128323.669094,4285622447.404508,2.264517,2.307205278325445,3.1802368935511787,1463499078.2348764,13637953241.987795,1.4912829815758823,1.438244406272097
1128,954992600.0,989569366.978956,993675160.415408,990913287.5796723,1.791065,2.116999664034714,3.5220716020778347,422776913.7374322,2485929146.504629,1.5556028399961876,1.5059119813155968
1129,2187762000.0,2207925913.1974874,2202897640.296717,2202586041.6461153,6.547998,6.420320584635027,6.884490486503612,265500494.99188134,9459656593.164627,2.343496151645427,2.2012728457107418
1130,2089296000.0,2308308900.5217957,2344347799.231303,2346736936.0887423,6.269033,7.18032329575002,12.190928079067868,543845257.2087506,2677332318.970738,4.410611269371593,4.183654071985915
1131,7943282000.0,8792665976.146875,8743120424.975115,8716999116.652607,9.311076,10.68244480775942,18.202694928430937,1309615061.3782427,7592084719.529827,8.923141647046133,8.042795930622791
1132,602559600.0,720575744.207745,708322180.5945809,708139081.0226558,0.0565899999999999,0.14036241673377037,3.6690009396583587,1093210277.23315,1745709083.3958545,1.5840365608691487,1.516765217281806
1133,1047129000.0,1029197884.3009573,1034663777.9675736,1035875879.1902375,3.794735,3.6363876149041263,4.176806172251469,211704031.64877576,4107602910.4176774,1.6860946379100268,1.6277147762407371
1134,10000000000.0,10188962148.657246,10140195213.324047,10149453658.069513,4.721706,6.228961670514201,10.918834313308125,2726581382.239392,12410937202.896996,3.794591807241754,3.4863533602515173
1135,1258925000.0,1269123929.8879898,1263955516.9440398,1260826858.7175572,6.921821,6.584349451889919,6.921447146886811,128471859.33195442,6396753323.232889,2.353962246609465,2.2043541266406055
1137,3162278000.0,1886038945.3389487,1894693558.871386,1891721586.8181515,1.9509410000000005,1.8110218352514589,2.670186692261738,735480110.4048346,6090540566.013526,1.3998971027417733,1.3649048984663377
1139,2290868000.0,2475741847.6119857,2420197336.9596376,2422312509.572754,5.249335,5.53277130571574,6.9640444017296685,545997912.2892214,5932895636.432642,2.3660811275724147,2.154453821818952
1141,831763800.0,817844592.423066,836633317.1400044,835027024.8843527,0.4236020000000007,0.45640824641896016,1.4330955166590618,649882310.9845908,2762980271.6559167,1.1993141801359273,1.1889216154560227
1142,4365158000.0,4506668124.042239,4452067770.204599,4451771080.322249,6.962061,6.9315195514174635,7.78965472480937,659468829.4784776,14067681865.177689,2.6130966557918196,2.4036893116594586
1144,3801894000.0,4387435635.332497,4390241626.973665,4395684552.846313,2.859929,4.2393511160203,9.315811762412995,1599472659.409495,5215866636.644775,3.136380805087979,2.9256574734599976
1145,1584893000.0,1568057976.6561272,1597555244.5296204,1594123994.8538487,13.716144,13.00028672122933,13.088009103386591,35918170.69100878,15565896804.465462,4.902584291840804,4.6753332727029875
1147,1000000000.0,1031523448.1108297,1034020986.2383355,1035875879.1902375,17.734673,17.360808943505038,17.65428988997411,25280352.214267313,5565252906.653993,8.370375582330627,7.669691173233622
1150,2398833000.0,2381967664.865265,2328042231.38539,2331907161.969857,13.912093,13.34721288620262,13.5535591684427,79413938.04566805,15366812988.901012,5.178642564192659,4.557498400008573
1151,1905461000.0,1961002676.6974306,1972694153.5094676,1977558265.1785233,6.109968,6.398312117748049,7.930984466724107,389185694.5091014,4516194272.439264,2.657785335102345,2.51608541113493
1152,2884032000.0,2313340413.9250345,2345034844.469147,2346736936.0887423,9.349822,9.138860794716964,9.666255288717775,202565725.7184506,9264799475.036806,3.2700841762737047,3.117502829661182
1153,5011872000.0,4290827568.226242,4339299783.0741415,4340304642.693567,11.8113,11.956753745680677,12.971315018143939,349946152.9201098,12212763287.97611,4.835676238144064,4.547580171737598
1154,724436000.0,765172494.2415806,750744718.7342868,749716271.457602,2.0493690000000004,2.1291279318615985,3.374586157932789,312481495.15912414,2040865148.3551238,1.5275411381972874,1.4494700474470936
1155,1995262000.0,2068279485.289038,2086108405.5049813,2080436712.9076102,16.978307,16.508581006443986,16.76077609616271,52122761.72511993,12051995830.168142,7.541264790237431,7.003819457824156
1156,1905461000.0,1837695974.284285,1814113234.7652638,1809610682.5508513,3.6884390000000007,3.3954333680648023,3.520707778903736,199920855.37900895,15292610111.741081,1.5553411598737767,1.4789311842151052
1157,1148154000.0,1175686851.5339153,1158667203.0966475,1161086211.6634932,8.046698,7.860605148842099,8.648129578270009,145719443.9692051,3832371522.251019,2.8961003609284894,2.6404647472066043
1158,8317638000.0,8198326964.008036,8097218761.714118,8078471003.740088,9.86517,9.735302515476556,10.958451305540567,951320589.8940964,21164175378.63116,3.81244669814171,3.4527177309632653
1159,758577600.0,730323259.0931923,731877537.0835034,730944371.352268,2.677511,2.6301043192517035,4.4825483444833925,299931350.52587885,1574820310.4308834,1.7504826199307488,1.679369391088998
1160,4786301000.0,4917300704.459981,4912715266.511443,4927007982.000437,1.17643,1.4079923821756555,4.026843103819158,3088738725.8510256,9357759130.820448,1.6553319607661137,1.5885147846425214
1161,1318257000.0,1975375870.3894088,2016491285.425659,2015527582.8701746,0.5352870000000003,1.614972829394181,6.687076707740491,1244807073.417885,2604820336.9791584,2.2883367974831916,2.210736916624711
1162,6918310000.0,4800816567.281222,4702173035.981916,4713149302.396993,2.700543,3.0608857533683596,5.778655113365762,1988557415.6657665,8378652220.807756,2.050065437293642,1.8956164082537275
1163,1659587000.0,1643814900.3306403,1688748412.649361,1687720293.5007737,1.3989909999999997,1.7809999413824043,7.461928013530334,985575945.7641976,2002096708.5839715,2.5122247205394475,2.4402588058632464
1164,4168694000.0,4345829925.109622,4331292169.545884,4340304642.693567,2.6844865,2.884165620043611,4.080284732483916,1452542247.091248,11668440603.352585,1.6662338496085258,1.593762761851553
